ClassId,Name
0,Speed limit five kilometers per hour
1,Speed limit fifteen kilometers per hour
2,Speed limit thirty kilometers per hour
3,Speed limit fourty kilometers per hour
4,Speed limit fifty kilometers per hour
5,Speed limit sixty kilometers per hour
6,Speed limit seventy kilometers per hour
7,Speed limit eighty kilometers per hour
8,Don't Go straight or left
9,Don't Go straight or Right
10,Don't Go straight
11,Don't Go Left
12,Don't Go Left or Right
13,Don't Go Right
14,Don't overtake from Left
15,No U-turn
16,No Car
17,No horn
18,End of Speed limit fouty kilometers per hour
19,End of Speed limit fifty kilometers per hour
20,Go straight or right
21,Go straight
22,Go Left
23,Go Left or right
24,Go Right
25,keep Left
26,keep Right
27,Roundabout mandatory
28,watch out for cars
29,Horn
30,Non-motor vehicle allowed
31,Uturn allowed
32,Watch for Road Divider
33,Watch for Traffic signals
34,Danger Ahead
35,Watch for Zebra Crossing
36,Watch for non-motor vehicle
37,Watch for Children crossing
38,Dangerous curve to the left
39,Dangerous curve to the right
40,Watch for down steep slope
41,Watch for up steep slope
42,Slow down
43,Go right or straight
44,Go left or straight
45,Near the village
46,Watch for ZigZag Curve
47,Watch for Trains
48,Watch for Construction site
49,Watch for consecutive turnings
50,Watch for fences
51,Watch for Heavy Vehicle Accidents
52,Stop to yield
53,No pass
54,No stopping
55,No entry
56,Slow down to yield
57,Stop for check
