image,folder,actual,predicted,correct,note
020_0002_j.png,Blue Signs,20,7.0,False,
020_0003.png,Blue Signs,20,36.0,False,
020_0004.png,Blue Signs,20,36.0,False,
020_0006.png,Blue Signs,20,36.0,False,
021_0002_j.png,Blue Signs,21,35.0,False,
021_0003.png,Blue Signs,21,18.0,False,
021_0004.png,Blue Signs,21,35.0,False,
021_0004_j.png,Blue Signs,21,35.0,False,
022_0005.png,Blue Signs,22,34.0,False,
023_1_0002_1_j.png,Blue Signs,23,13.0,False,
023_1_0003.png,Blue Signs,23,35.0,False,
023_1_0004.png,Blue Signs,23,1.0,False,
023_1_0005.png,Blue Signs,23,35.0,False,
024_1_0016.png,Blue Signs,24,33.0,False,
024_1_0017.png,Blue Signs,24,33.0,False,
026_1_0016.png,Blue Signs,26,38.0,False,
027_0002.png,Blue Signs,27,13.0,False,
027_0010.png,Blue Signs,27,13.0,False,
027_0012.png,Blue Signs,27,13.0,False,
028_0202.png,Blue Signs,28,17.0,False,
028_1_0007.png,Blue Signs,28,17.0,False,
028_1_0216.png,Blue Signs,28,17.0,False,
029_1_0015.png,Blue Signs,29,17.0,False,
030_1_0002.png,Blue Signs,30,23.0,False,
030_1_0018_1_j.png,Blue Signs,30,9.0,False,
030_1_0023.png,Blue Signs,30,23.0,False,
031_0011.png,Blue Signs,31,37.0,False,
031_1_0020.png,Blue Signs,31,35.0,False,
000_1_0002.png,Red signs,0,2.0,False,
000_1_0013.png,Red signs,0,2.0,False,
000_1_0018.png,Red signs,0,2.0,False,
000_1_0034.png,Red signs,0,,False,no sign detected
001_0004.png,Red signs,1,38.0,False,
001_1_0009.png,Red signs,1,2.0,False,
002_0036.png,Red signs,2,37.0,False,
002_1_0010.png,Red signs,2,1.0,False,
003_1_0034.png,Red signs,3,1.0,False,
004_1_0020.png,Red signs,4,2.0,False,
005_0030.png,Red signs,5,2.0,False,
005_1_0027.png,Red signs,5,1.0,False,
007_1_0006.png,Red signs,7,1.0,False,
008_1_0008_1_j.png,Red signs,8,37.0,False,
010_1_0013.png,Red signs,10,35.0,False,
011_0029.png,Red signs,11,34.0,False,
011_1_0019.png,Red signs,11,34.0,False,
012_1_0015.png,Red signs,12,13.0,False,
013_0013.png,Red signs,13,33.0,False,
014_1_0028.png,Red signs,14,3.0,False,
015_1_0001.png,Red signs,15,35.0,False,
016_1_0014.png,Red signs,16,17.0,False,
017_1_0017.png,Red signs,17,31.0,False,
033_1_0001.png,Red signs,33,25.0,False,
052_1_0008_1_j.png,Red signs,52,13.0,False,
055_1_0031.png,Red signs,55,17.0,False,
056_1_0010.png,Red signs,56,13.0,False,
057_0003_j.png,Red signs,57,17.0,False,
032_1_0001_1_j.png,Yellow Signs,32,3.0,False,
032_1_0002_1_j.png,Yellow Signs,32,39.0,False,
034_1_0002.png,Yellow Signs,34,35.0,False,
034_1_0003_1_j.png,Yellow Signs,34,18.0,False,
035_1_0002.png,Yellow Signs,35,35.0,True,
035_1_0003.png,Yellow Signs,35,37.0,False,
035_1_0004.png,Yellow Signs,35,37.0,False,
036_1_0014.png,Yellow Signs,36,29.0,False,
036_1_0016.png,Yellow Signs,36,17.0,False,
036_1_0019.png,Yellow Signs,36,,False,no sign detected
037_0019.png,Yellow Signs,37,28.0,False,
037_0021.png,Yellow Signs,37,28.0,False,
037_1_0009.png,Yellow Signs,37,28.0,False,
038_0008.png,Yellow Signs,38,0.0,False,
040_0011.png,Yellow Signs,40,25.0,False,
042_0002_j.png,Yellow Signs,42,2.0,False,
042_0016_j.png,Yellow Signs,42,29.0,False,
043_1_0021.png,Yellow Signs,43,42.0,False,
045_1_0004.png,Yellow Signs,45,38.0,False,
045_1_0009.png,Yellow Signs,45,24.0,False,
046_0005_j.png,Yellow Signs,46,38.0,False,
047_0002.png,Yellow Signs,47,16.0,False,
047_0005.png,Yellow Signs,47,16.0,False,
047_1_0003.png,Yellow Signs,47,16.0,False,
048_0004.png,Yellow Signs,48,35.0,False,
049_1_0010.png,Yellow Signs,49,3.0,False,
050_1_0003.png,Yellow Signs,50,20.0,False,
051_0005_j.png,Yellow Signs,51,29.0,False,
