Trial,Image No.,Filename,Actual Class,Actual Sign,Predicted Class,Predicted Sign,Correct,Status,Error,HOG Matches Saved Features,Within 2 Seconds,Image Loading Time (s),ROI Segmentation Time (s),HOG Extraction Time (s),Feature Scaling Time (s),LR Prediction Time (s),End-to-End Time (s)
1,1,001_0004.png,1,Speed limit fifteen kilometers per hour,1,Speed limit fifteen kilometers per hour,True,Success,,True,True,0.0007928999839350581,0.004325999994762242,0.003989900025771931,0.0006807000027038157,0.0013953999732621014,0.011184899980435148
1,2,002_0036.png,2,Speed limit thirty kilometers per hour,2,Speed limit thirty kilometers per hour,True,Success,,True,True,0.004721300007076934,0.021042600012151524,0.006158000003779307,0.0009086999925784767,0.001438899984350428,0.03426949999993667
1,3,005_0030.png,5,Speed limit sixty kilometers per hour,5,Speed limit sixty kilometers per hour,True,Success,,True,True,0.0015491000085603446,0.014784200000576675,0.004518300003837794,0.005214199976762757,0.0013485000235959888,0.02741430001333356
1,4,020_0003.png,20,Go straight or right,20,Go straight or right,True,Success,,True,True,0.0018652999715413898,0.01634970001759939,0.004255400010151789,0.0008728999819140881,0.0017757000168785453,0.0251189999980852
1,5,020_0004.png,20,Go straight or right,20,Go straight or right,True,Success,,True,True,0.0021455000096466392,0.013919499993789941,0.005209499999182299,0.0006843000010121614,0.0015030000067781657,0.023461800010409206
1,6,020_0006.png,20,Go straight or right,20,Go straight or right,True,Success,,True,True,0.0027463000151328743,0.031769099994562566,0.004361100000096485,0.0006893000099807978,0.001417299994500354,0.04098310001427308
1,7,021_0003.png,21,Go straight,21,Go straight,True,Success,,True,True,0.0018800999969244003,0.007087700010742992,0.00395000001299195,0.0006774999783374369,0.0012413999938871711,0.01483669999288395
1,8,021_0002_j.png,21,Go straight,21,Go straight,True,Success,,True,True,0.0016493999864906073,0.01060979999601841,0.003396500018425286,0.0007818999874871224,0.0013711000210605562,0.01780870000948198
1,9,027_0002.png,27,Roundabout mandatory,27,Roundabout mandatory,True,Success,,True,True,0.0019749999919440597,0.010490799992112443,0.003974799998104572,0.00066970000625588,0.0013847000082023442,0.0184949999966193
1,10,031_0011.png,31,Uturn allowed,31,Uturn allowed,True,Success,,True,True,0.001859300013165921,0.007412999984808266,0.004057400015881285,0.0008745999948587269,0.0011613999959081411,0.01536570000462234
1,11,038_0008.png,38,Dangerous curve to the left,38,Dangerous curve to the left,True,Success,,True,True,0.0025830999948084354,0.013318600016646087,0.004037700011394918,0.0005293999856803566,0.0014841000083833933,0.02195290001691319
1,12,042_0002_j.png,42,Slow down,42,Slow down,True,Success,,True,True,0.0017032000178005546,0.00845839999965392,0.004425399994943291,0.0010350999946240336,0.0017074999923352152,0.017329599999357015
