Image No.,Filename,Actual Class,Actual Sign,Predicted Class,Predicted Sign,Correct,Image Loading Mean Time (s),Image Loading Max Time (s),ROI Segmentation Mean Time (s),ROI Segmentation Max Time (s),HOG Extraction Mean Time (s),HOG Extraction Max Time (s),Feature Scaling Mean Time (s),Feature Scaling Max Time (s),LR Prediction Mean Time (s),LR Prediction Max Time (s),End-to-End Mean Time (s),End-to-End Max Time (s),Successful_Runs,All_Runs_Within_2_Seconds,HOG_Matched_Every_Run
1,001_0004.png,1,Speed limit fifteen kilometers per hour,1,Speed limit fifteen kilometers per hour,True,0.0008479333288657168,0.0010399000020697713,0.0039637666680694865,0.004325999994762242,0.004492699993231024,0.0058376999804750085,0.0007555000095938643,0.0009953000117093325,0.0014014333331336577,0.0014426000125240535,0.01146133333289375,0.012973400007467717,3,True,True
2,002_0036.png,2,Speed limit thirty kilometers per hour,2,Speed limit thirty kilometers per hour,True,0.003788366671263551,0.004721300007076934,0.019918466665937256,0.021042600012151524,0.005791066670402263,0.006197900016559288,0.0007910666657456508,0.0009865000029094517,0.0013998999978260447,0.0015618999896105379,0.031688866671174765,0.03426949999993667,3,True,True
3,005_0030.png,5,Speed limit sixty kilometers per hour,5,Speed limit sixty kilometers per hour,True,0.0015663333275976281,0.0016733999946154654,0.014538133332583433,0.015062599995872006,0.004611300003792469,0.005423599999630824,0.002426566662810122,0.005214199976762757,0.0013808000076096505,0.0015415000088978559,0.024523133334393304,0.02741430001333356,3,True,True
4,020_0003.png,20,Go straight or right,20,Go straight or right,True,0.0023507999915940068,0.002733400004217401,0.019284000009065494,0.021130000008270144,0.005106500000692904,0.005873899994185194,0.0008137999878575405,0.0008728999819140881,0.0014562666765414178,0.0017757000168785453,0.029011366665751364,0.031200099998386577,3,True,True
5,020_0004.png,20,Go straight or right,20,Go straight or right,True,0.002202566664588327,0.002527899981942028,0.014068166667129844,0.014785600011236966,0.0053099999980380135,0.005691300000762567,0.0008196333268036445,0.000911299983272329,0.0014151666837278754,0.0015030000067781657,0.023815533340287704,0.025337200000649318,3,True,True
6,020_0006.png,20,Go straight or right,20,Go straight or right,True,0.003955700007888178,0.0046424999891314656,0.034099933332375564,0.036541700013913214,0.005011933331843466,0.00666579999960959,0.0006648000077499697,0.0006893000099807978,0.001341266664288317,0.001417299994500354,0.04507363334414549,0.049895200005266815,3,True,True
7,021_0003.png,21,Go straight,21,Go straight,True,0.001696400004827107,0.0018800999969244003,0.006833266670582816,0.008119000005535781,0.003920966672012582,0.003978599997935817,0.0006479999865405262,0.0006774999783374369,0.0012811666626172762,0.0013629999884869903,0.014379799996580308,0.015790100005688146,3,True,True
8,021_0002_j.png,21,Go straight,21,Go straight,True,0.0016418999972908448,0.0016534000169485807,0.01024696666475696,0.01060979999601841,0.003994600003352389,0.0043126000091433525,0.000696099993850415,0.0007818999874871224,0.0012103666764839243,0.0013711000210605562,0.01778993333573453,0.01794979997794144,3,True,True
9,027_0002.png,27,Roundabout mandatory,27,Roundabout mandatory,True,0.002065966672186429,0.0021804000134579837,0.01127313332593379,0.011708899983204901,0.003955699998186901,0.003974799998104572,0.0006177333416417241,0.00066970000625588,0.0012615333253052086,0.0013847000082023442,0.019174066663254052,0.019671699992613867,3,True,True
10,031_0011.png,31,Uturn allowed,31,Uturn allowed,True,0.0018207000102847815,0.001859300013165921,0.007940466651537767,0.008245499979238957,0.004252533341059461,0.004596300015691668,0.0007979333361921211,0.0008975999953690916,0.0012694666608391951,0.0015291000017896295,0.016081099999913324,0.017070600006263703,3,True,True
11,038_0008.png,38,Dangerous curve to the left,38,Dangerous curve to the left,True,0.002591499990861242,0.002732699998887256,0.01445786667560848,0.017084899998735636,0.004645066675341998,0.005923600023379549,0.0006481999880634248,0.0007459999760612845,0.0013668000077207882,0.0014841000083833933,0.023709433337595936,0.02793430001474917,3,True,True
