selection_rank,Selected,rank_test_macro_f1,mean_test_macro_f1,std_test_macro_f1,rank_test_accuracy,mean_test_accuracy,std_test_accuracy,mean_score_time,mean_fit_time,param_n_estimators,param_max_depth,param_max_features,param_min_samples_split,param_class_weight,params
1,True,1,0.9208456207972662,0.004667392074980015,3,0.9410884926821907,0.0034030327415380257,1.0415149927139282,7.04203724861145,400,,log2,2,balanced_subsample,"{'class_weight': 'balanced_subsample', 'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 400}"
2,False,2,0.9207365495283641,0.003055443659337853,1,0.9421488924494004,0.0006234687205868839,1.984004259109497,43.50210404396057,400,,sqrt,5,,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 400}"
3,False,3,0.9200608534724146,0.0015370913917206463,9,0.9402413942995093,0.0008603006157449355,1.8348565101623535,38.16593527793884,400,30,sqrt,2,,"{'class_weight': None, 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 400}"
4,False,4,0.9197896061306332,0.0031942033573671424,13,0.939605711268061,0.0006485260200745913,2.318516731262207,15.16991102695465,400,,log2,2,,"{'class_weight': None, 'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 400}"
5,False,5,0.9188273543647971,0.006870771151274713,4,0.9410884028710815,0.003826851366206585,0.5540895462036133,4.41325843334198,200,,log2,2,balanced_subsample,"{'class_weight': 'balanced_subsample', 'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}"
6,False,6,0.9187469440915346,5.9879919263594594e-05,5,0.9408774365753947,0.0006231992872590131,2.4503039121627808,60.40393507480621,400,,sqrt,2,,"{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 400}"
7,False,7,0.9184511634193016,0.0009638940624784875,14,0.9393941162946092,0.0008347942607108694,1.7885167598724365,34.589476108551025,400,30,sqrt,5,,"{'class_weight': None, 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 400}"
8,False,8,0.9182556626261547,0.0025743063797212806,19,0.9381223011761664,0.0008607496712912943,1.8086326122283936,12.031535625457764,400,30,log2,2,,"{'class_weight': None, 'max_depth': 30, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 400}"
9,False,9,0.9179477757667293,0.0026497900297624,20,0.9381220317428385,0.002132205545297139,2.248362183570862,18.152793884277344,400,,log2,5,,"{'class_weight': None, 'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 400}"
10,False,10,0.9177539326963133,0.0013013432687005166,12,0.9398171266192943,0.002979483550197226,1.3000609874725342,26.535701990127563,200,30,sqrt,2,,"{'class_weight': None, 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}"
