Filename,Actual Class,Actual Sign,Predicted Class,Predicted Sign,Correct,Segmentation Found (display check),Classification Time (s),Below 2 Seconds
001_0004.png,1,Speed limit fifteen kilometers per hour,1,Speed limit fifteen kilometers per hour,True,True,0.14440072900106316,True
002_0036.png,2,Speed limit thirty kilometers per hour,2,Speed limit thirty kilometers per hour,True,True,0.15074380000078236,True
005_0030.png,5,Speed limit sixty kilometers per hour,5,Speed limit sixty kilometers per hour,True,True,0.14426911800001108,True
020_0003.png,20,Go straight or right,20,Go straight or right,True,True,0.14587762700102758,True
020_0004.png,20,Go straight or right,20,Go straight or right,True,True,0.14523219500006235,True
020_0006.png,20,Go straight or right,20,Go straight or right,True,True,0.1432384159998037,True
021_0003.png,21,Go straight,21,Go straight,True,True,0.15199223899981007,True
021_0002_j.png,21,Go straight,21,Go straight,True,True,0.13470859100016241,True
027_0002.png,27,Roundabout mandatory,27,Roundabout mandatory,True,True,0.1469616459999088,True
031_0011.png,31,Uturn allowed,31,Uturn allowed,True,True,0.14902063400040788,True
038_0008.png,38,Dangerous curve to the left,38,Dangerous curve to the left,True,True,0.1421353679997992,True
042_0002_j.png,42,Slow down,42,Slow down,True,True,0.14747425000132353,True
046_0005_j.png,46,Watch for ZigZag Curve,46,Watch for ZigZag Curve,True,True,0.14347391499904916,True
047_0002.png,47,Watch for Trains,47,Watch for Trains,True,True,0.1480355840012635,True
047_0005.png,47,Watch for Trains,47,Watch for Trains,True,True,0.14799306700115267,True
020_0002_j.png,20,Go straight or right,20,Go straight or right,True,True,0.13694283199947677,True
021_0004_j.png,21,Go straight,21,Go straight,True,True,0.13845807899997453,True
042_0016_j.png,42,Slow down,42,Slow down,True,True,0.14623342000049888,True
051_0005_j.png,51,Watch for Heavy Vehicle Accidents,51,Watch for Heavy Vehicle Accidents,True,True,0.15202284299994062,True
057_0003_j.png,57,Stop for check,57,Stop for check,True,True,0.1461448999998538,True
011_0029.png,11,Don't Go Left,11,Don't Go Left,True,True,0.1443070479999733,True
013_0013.png,13,Don't Go Right,13,Don't Go Right,True,True,0.14722831200015207,True
021_0004.png,21,Go straight,21,Go straight,True,True,0.14034013799937384,True
022_0005.png,22,Go Left,22,Go Left,True,True,0.14406804499958525,True
027_0010.png,27,Roundabout mandatory,27,Roundabout mandatory,True,True,0.14965951799968025,True
027_0012.png,27,Roundabout mandatory,27,Roundabout mandatory,True,True,0.15074758199989446,True
028_0202.png,28,watch out for cars,28,watch out for cars,True,True,0.14465958000073442,True
037_0019.png,37,Watch for Children crossing,37,Watch for Children crossing,True,True,0.1447555030008516,True
037_0021.png,37,Watch for Children crossing,37,Watch for Children crossing,True,True,0.14917631800017261,True
040_0011.png,40,Watch for down steep slope,40,Watch for down steep slope,True,True,0.1419733990005625,True
048_0004.png,48,Watch for Construction site,48,Watch for Construction site,True,True,0.15172228399933374,True
000_1_0002.png,0,Speed limit five kilometers per hour,0,Speed limit five kilometers per hour,True,True,0.1481210670008295,True
000_1_0013.png,0,Speed limit five kilometers per hour,0,Speed limit five kilometers per hour,True,True,0.14480951100085804,True
000_1_0018.png,0,Speed limit five kilometers per hour,0,Speed limit five kilometers per hour,True,True,0.1495612329999858,True
000_1_0034.png,0,Speed limit five kilometers per hour,0,Speed limit five kilometers per hour,True,True,0.1555229639998288,True
001_1_0009.png,1,Speed limit fifteen kilometers per hour,1,Speed limit fifteen kilometers per hour,True,True,0.150321723000161,True
002_1_0010.png,2,Speed limit thirty kilometers per hour,2,Speed limit thirty kilometers per hour,True,True,0.1477003309992142,True
003_1_0034.png,3,Speed limit fourty kilometers per hour,3,Speed limit fourty kilometers per hour,True,True,0.14664798500052711,True
004_1_0020.png,4,Speed limit fifty kilometers per hour,4,Speed limit fifty kilometers per hour,True,True,0.14598046799983422,True
005_1_0027.png,5,Speed limit sixty kilometers per hour,5,Speed limit sixty kilometers per hour,True,True,0.14752199100075813,True
007_1_0006.png,7,Speed limit eighty kilometers per hour,7,Speed limit eighty kilometers per hour,True,True,0.15471677900131908,True
012_1_0015.png,12,Don't Go Left or Right,12,Don't Go Left or Right,True,True,0.14790032600103586,True
014_1_0028.png,14,Don't overtake from Left,14,Don't overtake from Left,True,True,0.150612278999688,True
015_1_0001.png,15,No U-turn,15,No U-turn,True,True,0.14794080100000429,True
016_1_0014.png,16,No Car,16,No Car,True,True,0.1401702760012995,True
017_1_0017.png,17,No horn,17,No horn,True,True,0.15191319299992756,True
023_1_0003.png,23,Go Left or right,23,Go Left or right,True,True,0.14023439999982656,True
023_1_0004.png,23,Go Left or right,23,Go Left or right,True,True,0.14125286500166112,True
024_1_0016.png,24,Go Right,24,Go Right,True,True,0.15241336399958527,True
024_1_0017.png,24,Go Right,24,Go Right,True,True,0.15697125099904952,True
026_1_0016.png,26,keep Right,26,keep Right,True,True,0.14326974499999778,True
028_1_0007.png,28,watch out for cars,28,watch out for cars,True,True,0.14617894100047124,True
030_1_0002.png,30,Non-motor vehicle allowed,30,Non-motor vehicle allowed,True,True,0.14710961200034944,True
030_1_0023.png,30,Non-motor vehicle allowed,30,Non-motor vehicle allowed,True,True,0.1432754190009291,True
032_1_0001_1_j.png,32,Watch for Road Divider,32,Watch for Road Divider,True,True,0.1431377649987553,True
