rank_test_macro_f1,mean_test_macro_f1,std_test_macro_f1,mean_test_accuracy,std_test_accuracy,mean_fit_time,param_svm__kernel,param_svm__C,param_svm__gamma,param_svm__class_weight,params
1,0.9441882194539047,0.005050069946575975,0.9485055431416645,0.0023419144854541774,63.94328260421753,rbf,30.0,0.0001,balanced,"{'svm__C': 30, 'svm__class_weight': 'balanced', 'svm__gamma': 0.0001, 'svm__kernel': 'rbf'}"
1,0.9441882194539047,0.005050069946575975,0.9485055431416645,0.0023419144854541774,72.58646857738495,rbf,30.0,0.0001,,"{'svm__C': 30, 'svm__class_weight': None, 'svm__gamma': 0.0001, 'svm__kernel': 'rbf'}"
1,0.9441882194539047,0.005050069946575975,0.9485055431416645,0.0023419144854541774,82.06863844394684,rbf,10.0,0.0001,,"{'svm__C': 10, 'svm__class_weight': None, 'svm__gamma': 0.0001, 'svm__kernel': 'rbf'}"
4,0.9439557044411017,0.0043087852225072165,0.9478700397324348,0.0012825026404466033,74.02743065357208,rbf,10.0,0.0001,balanced,"{'svm__C': 10, 'svm__class_weight': 'balanced', 'svm__gamma': 0.0001, 'svm__kernel': 'rbf'}"
5,0.943049340396131,0.0046784877046703865,0.9482934991126662,0.0029776873280117355,62.93625783920288,linear,0.1,,,"{'svm__C': 0.1, 'svm__class_weight': None, 'svm__kernel': 'linear'}"
5,0.943049340396131,0.0046784877046703865,0.9482934991126662,0.0029776873280117355,62.950382351875305,linear,0.01,,,"{'svm__C': 0.01, 'svm__class_weight': None, 'svm__kernel': 'linear'}"
5,0.943049340396131,0.0046784877046703865,0.9482934991126662,0.0029776873280117355,63.363263845443726,linear,1.0,,balanced,"{'svm__C': 1, 'svm__class_weight': 'balanced', 'svm__kernel': 'linear'}"
5,0.943049340396131,0.0046784877046703865,0.9482934991126662,0.0029776873280117355,63.679505586624146,linear,0.1,,balanced,"{'svm__C': 0.1, 'svm__class_weight': 'balanced', 'svm__kernel': 'linear'}"
5,0.943049340396131,0.0046784877046703865,0.9482934991126662,0.0029776873280117355,63.750483751297,linear,1.0,,,"{'svm__C': 1, 'svm__class_weight': None, 'svm__kernel': 'linear'}"
5,0.943049340396131,0.0046784877046703865,0.9482934991126662,0.0029776873280117355,63.76770627498627,linear,0.01,,balanced,"{'svm__C': 0.01, 'svm__class_weight': 'balanced', 'svm__kernel': 'linear'}"
5,0.943049340396131,0.0046784877046703865,0.9482934991126662,0.0029776873280117355,77.15368914604187,linear,10.0,,,"{'svm__C': 10, 'svm__class_weight': None, 'svm__kernel': 'linear'}"
