selection_rank,Selected,rank_test_macro_f1,mean_test_macro_f1,std_test_macro_f1,rank_test_accuracy,mean_test_accuracy,std_test_accuracy,mean_score_time,mean_fit_time,param_svm__kernel,param_svm__C,param_svm__gamma,param_svm__class_weight,params
1,True,1,0.9441882194539047,0.005050069946575975,1,0.9485055431416645,0.0023419144854541774,71.41140067577362,55.10774528980255,rbf,30.0,0.0001,balanced,"{'svm__C': 30, 'svm__class_weight': 'balanced', 'svm__gamma': 0.0001, 'svm__kernel': 'rbf'}"
2,False,1,0.9441882194539047,0.005050069946575975,1,0.9485055431416645,0.0023419144854541774,78.39099133014679,58.870922327041626,rbf,30.0,0.0001,,"{'svm__C': 30, 'svm__class_weight': None, 'svm__gamma': 0.0001, 'svm__kernel': 'rbf'}"
3,False,1,0.9441882194539047,0.005050069946575975,1,0.9485055431416645,0.0023419144854541774,97.50798988342285,68.89098286628723,rbf,10.0,0.0001,,"{'svm__C': 10, 'svm__class_weight': None, 'svm__gamma': 0.0001, 'svm__kernel': 'rbf'}"
4,False,4,0.9439557044411017,0.0043087852225072165,14,0.9478700397324348,0.0012825026404466033,95.29509556293488,68.53504490852356,rbf,10.0,0.0001,balanced,"{'svm__C': 10, 'svm__class_weight': 'balanced', 'svm__gamma': 0.0001, 'svm__kernel': 'rbf'}"
5,False,5,0.943049340396131,0.0046784877046703865,4,0.9482934991126662,0.0029776873280117355,72.99641025066376,68.52615714073181,linear,30.0,,balanced,"{'svm__C': 30, 'svm__class_weight': 'balanced', 'svm__kernel': 'linear'}"
6,False,5,0.943049340396131,0.0046784877046703865,4,0.9482934991126662,0.0029776873280117355,73.24912571907043,69.29551827907562,linear,30.0,,,"{'svm__C': 30, 'svm__class_weight': None, 'svm__kernel': 'linear'}"
7,False,5,0.943049340396131,0.0046784877046703865,4,0.9482934991126662,0.0029776873280117355,73.42705762386322,69.19560432434082,linear,10.0,,balanced,"{'svm__C': 10, 'svm__class_weight': 'balanced', 'svm__kernel': 'linear'}"
8,False,5,0.943049340396131,0.0046784877046703865,4,0.9482934991126662,0.0029776873280117355,73.76750409603119,69.74988687038422,linear,10.0,,,"{'svm__C': 10, 'svm__class_weight': None, 'svm__kernel': 'linear'}"
9,False,5,0.943049340396131,0.0046784877046703865,4,0.9482934991126662,0.0029776873280117355,86.45943057537079,70.47337591648102,linear,0.01,,balanced,"{'svm__C': 0.01, 'svm__class_weight': 'balanced', 'svm__kernel': 'linear'}"
10,False,5,0.943049340396131,0.0046784877046703865,4,0.9482934991126662,0.0029776873280117355,86.45957469940186,73.38624119758606,linear,1.0,,,"{'svm__C': 1, 'svm__class_weight': None, 'svm__kernel': 'linear'}"
11,False,5,0.943049340396131,0.0046784877046703865,4,0.9482934991126662,0.0029776873280117355,86.66617166996002,72.65598690509796,linear,0.1,,balanced,"{'svm__C': 0.1, 'svm__class_weight': 'balanced', 'svm__kernel': 'linear'}"
12,False,5,0.943049340396131,0.0046784877046703865,4,0.9482934991126662,0.0029776873280117355,86.69398760795593,71.83062422275543,linear,0.1,,,"{'svm__C': 0.1, 'svm__class_weight': None, 'svm__kernel': 'linear'}"
13,False,5,0.943049340396131,0.0046784877046703865,4,0.9482934991126662,0.0029776873280117355,86.70074164867401,71.13394248485565,linear,0.01,,,"{'svm__C': 0.01, 'svm__class_weight': None, 'svm__kernel': 'linear'}"
14,False,5,0.943049340396131,0.0046784877046703865,4,0.9482934991126662,0.0029776873280117355,86.76745736598969,73.48464250564575,linear,1.0,,balanced,"{'svm__C': 1, 'svm__class_weight': 'balanced', 'svm__kernel': 'linear'}"
