Filename,Actual Class,Actual Sign,Predicted Class,Predicted Sign,Correct,Segmentation Found (display check),Classification Time (s),Below 2 Seconds
001_0004.png,1,Speed limit fifteen kilometers per hour,1,Speed limit fifteen kilometers per hour,True,True,0.02570229999946605,True
002_0036.png,2,Speed limit thirty kilometers per hour,2,Speed limit thirty kilometers per hour,True,True,0.027519899998878827,True
005_0030.png,5,Speed limit sixty kilometers per hour,5,Speed limit sixty kilometers per hour,True,True,0.024199000001317472,True
020_0003.png,20,Go straight or right,20,Go straight or right,True,True,0.024914699999499135,True
020_0004.png,20,Go straight or right,20,Go straight or right,True,True,0.02704999999878055,True
020_0006.png,20,Go straight or right,20,Go straight or right,True,True,0.02402310000070429,True
021_0003.png,21,Go straight,21,Go straight,True,True,0.023306099999899743,True
021_0002_j.png,21,Go straight,21,Go straight,True,True,0.022242700000788318,True
027_0002.png,27,Roundabout mandatory,27,Roundabout mandatory,True,True,0.020244699999238946,True
031_0011.png,31,Uturn allowed,31,Uturn allowed,True,True,0.023433100001057028,True
038_0008.png,38,Dangerous curve to the left,38,Dangerous curve to the left,True,True,0.02477039999939734,True
042_0002_j.png,42,Slow down,42,Slow down,True,True,0.028083799999876646,True
046_0005_j.png,46,Watch for ZigZag Curve,46,Watch for ZigZag Curve,True,True,0.023968999999851803,True
047_0002.png,47,Watch for Trains,47,Watch for Trains,True,True,0.021426200000860263,True
047_0005.png,47,Watch for Trains,47,Watch for Trains,True,True,0.021824800000104005,True
020_0002_j.png,20,Go straight or right,20,Go straight or right,True,True,0.022626500000114902,True
021_0004_j.png,21,Go straight,21,Go straight,True,True,0.019687800000610878,True
042_0016_j.png,42,Slow down,42,Slow down,True,True,0.023329399999056477,True
051_0005_j.png,51,Watch for Heavy Vehicle Accidents,51,Watch for Heavy Vehicle Accidents,True,True,0.023728800000753836,True
057_0003_j.png,57,Stop for check,57,Stop for check,True,True,0.022025100000973907,True
011_0029.png,11,Don't Go Left,11,Don't Go Left,True,True,0.01835179999943648,True
013_0013.png,13,Don't Go Right,13,Don't Go Right,True,True,0.020612000000255648,True
021_0004.png,21,Go straight,21,Go straight,True,True,0.022989400000369642,True
022_0005.png,22,Go Left,22,Go Left,True,True,0.020182000000204425,True
027_0010.png,27,Roundabout mandatory,27,Roundabout mandatory,True,True,0.02201760000025388,True
027_0012.png,27,Roundabout mandatory,27,Roundabout mandatory,True,True,0.020479599999816855,True
028_0202.png,28,watch out for cars,28,watch out for cars,True,True,0.023174900001322385,True
037_0019.png,37,Watch for Children crossing,37,Watch for Children crossing,True,True,0.021215900000242982,True
037_0021.png,37,Watch for Children crossing,37,Watch for Children crossing,True,True,0.020885699999780627,True
040_0011.png,40,Watch for down steep slope,40,Watch for down steep slope,True,True,0.021937999999863678,True
048_0004.png,48,Watch for Construction site,48,Watch for Construction site,True,True,0.02014249999956519,True
